filename,blue_score,chroma
85o.png,51.90,55.03
114o.png,49.64,51.59
354o.png,29.62,32.68
1o.png,24.16,25.66
3o.png,20.58,23.74
165o.png,20.12,21.74
1216o.png,18.68,21.54
347o.png,18.32,20.38
349o.png,17.40,20.24
348o.png,16.65,19.37
350o.png,16.05,18.87
345o.png,15.29,16.87
352o.png,15.15,18.20
623o.png,14.85,17.65
353o.png,14.57,17.59
4o.png,14.16,16.69
123o.png,13.62,16.04
1225o.png,13.45,15.39
1235o.png,13.42,14.21
476o.png,13.08,16.32
1233o.png,12.88,15.66
1239o.png,12.50,15.30
1238o.png,12.44,15.24
517o.png,12.20,16.35
351o.png,11.89,14.90
97o.png,11.32,13.97
622o.png,10.73,13.77
1217o.png,10.57,12.44
122o.png,10.22,12.77
628o.png,10.16,13.12
475o.png,10.15,14.00
