volgnummer,filename,side,main_document,reason,series_first,released_path,original_path,folder,exif_orientation,exif_name,rotation_applied,width,height,archief,fonds,signatuur,jaar,maand,dag,extra_info,inverted,grayscale
30,30m.jpg,verso,0,verso,,images/pages-verso/30m.png,images/archive-original/1240-1260/30m.jpg,1240-1260,6,90-cw,1,2024,1436,Stadsarchief Mechelen,statuten broederschap Sint Elooi,,12xx,xx,xx,kopie begin 14e,0,0
30,30o.jpg,recto,1,recto,,images/pages-recto/30o.png,images/archive-original/1240-1260/30o.jpg,1240-1260,6,90-cw,1,2024,1436,Stadsarchief Mechelen,statuten broederschap Sint Elooi,,12xx,xx,xx,kopie begin 14e,0,0
31,31m.jpg,verso,0,verso,,images/pages-verso/31m.png,images/archive-original/1240-1260/31m.jpg,1240-1260,6,90-cw,1,1654,1168,RA Mons,cart.,"29, 46 r°",1254,3,01,kopie ± 1280,0,0
31,31o.jpg,recto,1,recto,,images/pages-recto/31o.png,images/archive-original/1240-1260/31o.jpg,1240-1260,6,90-cw,1,1654,1168,RA Mons,cart.,"29, 46 r°",1254,3,01,kopie ± 1280,0,0
32,32m.jpg,verso,0,verso,,images/pages-verso/32m.png,images/archive-original/1240-1260/32m.jpg,1240-1260,6,90-cw,1,2024,1436,SA Mechelen,,,1254,12,21,vertaling 1e kwart 14e,0,0
32,32o.jpg,recto,1,recto,,images/pages-recto/32o.png,images/archive-original/1240-1260/32o.jpg,1240-1260,6,90-cw,1,2024,1436,SA Mechelen,,,1254,12,21,vertaling 1e kwart 14e,0,0
33,33m.jpg,verso,0,verso,,images/pages-verso/33m.png,images/archive-original/1240-1260/33m.jpg,1240-1260,6,90-cw,1,1654,1168,RA Gent,fonds Gent,"6, 34 v°",12xx,xx,xx,,0,0
33,33o.jpg,recto,0,neardup_of=34o,,images/pages-recto/33o.png,images/archive-original/1240-1260/33o.jpg,1240-1260,1,native,0,1168,1654,RA Gent,fonds Gent,"6, 34 v°",12xx,xx,xx,,0,0
34,34m.jpg,verso,0,verso,,images/pages-verso/34m.png,images/archive-original/1240-1260/34m.jpg,1240-1260,6,90-cw,1,1654,1168,RA Gent,fonds Gent,"6, 34 r°",12xx,xx,xx,,0,0
34,34o.jpg,recto,1,recto,,images/pages-recto/34o.png,images/archive-original/1240-1260/34o.jpg,1240-1260,,missing,0,1168,1654,RA Gent,fonds Gent,"6, 34 r°",12xx,xx,xx,,0,0
35,35m.jpg,verso,0,verso,,images/pages-verso/35m.png,images/archive-original/1240-1260/35m.jpg,1240-1260,,missing,0,1656,2339,keure van Middelburg,,,1254,xx,xx,,0,0
35,35o.jpg,recto,1,recto,,images/pages-recto/35o.png,images/archive-original/1240-1260/35o.jpg,1240-1260,6,90-cw,1,2339,1656,keure van Middelburg,,,1254,xx,xx,,0,0
36,36m.jpg,verso,0,verso,,images/pages-verso/36m.png,images/archive-original/1240-1260/36m.jpg,1240-1260,,missing,0,1656,2339,keure van Middelburg,,,1254,xx,xx,,0,0
36,36o.jpg,recto,0,neardup_of=35o,,images/pages-recto/36o.png,images/archive-original/1240-1260/36o.jpg,1240-1260,6,90-cw,1,2339,1656,keure van Middelburg,,,1254,xx,xx,,0,0
