hamming,a,b,delta_volgnummer,archief,fonds,signatuur_a,signatuur_b,date_a,date_b
6,117o.png,120o.png,3,Spermalie Brugge,,,,1275-12-10,1275-12-10
6,239o.png,240o.png,1,Groot Seminarie Brugge,Ter Duinen,,,1281-08-16,1281-08-16
7,118o.png,119o.png,1,Spermalie Brugge,,,,1275-12-10,1275-12-10
13,1143o.png,1144o.png,1,Groot Seminarie Brugge,Ter Duinen,,,1293-09-07,1293-09-07
13,275o.png,277o.png,2,SA Gent,Stadscharters,,,1282-10-17,1282-10-17
14,73o.png,75o.png,2,Sint-Janshospitaal Brugge,,,,1271-01-23,1271-01-23
16,1370o.png,1372o.png,2,Gemeentearchief Rotterdam,,,,1297-07-09,1297-07-09
18,73o.png,74o.png,1,Sint-Janshospitaal Brugge,,,,1271-01-23,1271-01-23
18,74o.png,75o.png,1,Sint-Janshospitaal Brugge,,,,1271-01-23,1271-01-23
24,275o.png,276o.png,1,SA Gent,Stadscharters,,,1282-10-17,1282-10-17
25,554o.png,555o.png,1,RA Gent,Rijke Klaren,,,1288-06-23,1288-06-23
30,117o.png,119o.png,2,Spermalie Brugge,,,,1275-12-10,1275-12-10
30,554o.png,556o.png,2,RA Gent,Rijke Klaren,,,1288-06-23,1288-06-23
31,276o.png,277o.png,1,SA Gent,Stadscharters,,,1282-10-17,1282-10-17
32,119o.png,120o.png,1,Spermalie Brugge,,,,1275-12-10,1275-12-10
