filename,kind,dark_frac,mean,otsu
1174o.png,candidate,0.9194,118.8,176
1295o.png,candidate,0.8621,117.3,167
1290o.png,candidate,0.8559,126.6,171
1268o.png,candidate,0.8405,119.4,162
1267o.png,candidate,0.8394,115.7,157
1278o.png,candidate,0.8372,123.0,164
1285o.png,candidate,0.8215,127.7,174
1055o.png,candidate,0.8184,181.7,201
1256o.png,candidate,0.7987,154.3,187
1288o.png,candidate,0.7984,127.4,163
1235o.png,candidate,0.7975,46.7,110
1257o.png,candidate,0.7963,132.7,168
1226o.png,candidate,0.7912,43.9,102
1246o.png,candidate,0.7885,140.2,179
1265o.png,candidate,0.7795,124.2,155
1287o.png,candidate,0.7763,131.8,163
208o.png,candidate,0.7759,52.2,112
1266o.png,candidate,0.7712,130.0,159
1294o.png,candidate,0.7646,147.2,176
1261o.png,candidate,0.7632,135.6,162
114o.png,candidate,0.7628,57.0,103
1255o.png,candidate,0.7622,146.3,178
1276o.png,candidate,0.7619,135.1,172
1293o.png,candidate,0.7536,132.7,168
1252o.png,candidate,0.7470,136.3,172
1262o.png,candidate,0.7470,135.1,160
1264o.png,candidate,0.7428,135.7,161
1263o.png,candidate,0.7424,132.4,158
1313o.png,candidate,0.7401,139.5,165
1064o.png,candidate,0.7396,186.5,203
1272o.png,candidate,0.7387,140.6,164
85o.png,candidate,0.7359,60.5,99
1212o.png,candidate,0.7312,54.5,98
1312o.png,candidate,0.7298,121.8,149
1250o.png,candidate,0.7295,128.9,150
1301o.png,candidate,0.7234,136.5,169
1238o.png,candidate,0.7226,69.4,109
1193o.png,candidate,0.7162,116.0,145
1249o.png,candidate,0.7133,136.1,156
1258o.png,candidate,0.7104,136.4,163
1243o.png,candidate,0.7035,167.7,189
1284o.png,candidate,0.7008,134.5,161
1296o.png,candidate,0.6992,145.8,175
1244o.png,candidate,0.6985,136.0,166
1311o.png,candidate,0.6937,144.2,165
560o.png,candidate,0.6933,59.4,93
1303o.png,candidate,0.6902,144.9,172
1306o.png,candidate,0.6838,144.2,170
1393o.png,candidate,0.6787,67.6,104
1307o.png,candidate,0.6764,153.9,176
1225o.png,candidate,0.6734,81.7,115
1281o.png,candidate,0.6699,148.3,172
384o.png,candidate,0.6649,198.1,209
1390o.png,candidate,0.6600,139.8,158
562o.png,candidate,0.6589,70.1,100
345o.png,candidate,0.6569,80.5,110
161o.png,candidate,0.6550,183.3,198
1275o.png,candidate,0.6544,147.7,171
341o.png,candidate,0.6473,151.4,168
1376o.png,candidate,0.6470,155.2,169
1297o.png,candidate,0.6442,149.6,169
1397o.png,candidate,0.6398,146.9,161
1269o.png,candidate,0.6383,155.4,174
1254o.png,candidate,0.6302,152.6,169
1375o.png,candidate,0.6270,165.1,177
1391o.png,candidate,0.6243,79.6,102
1248o.png,candidate,0.6243,154.5,170
1377o.png,candidate,0.6239,161.8,174
1283o.png,candidate,0.6188,145.4,164
1366o.png,candidate,0.6187,178.2,187
1227o.png,candidate,0.6176,75.2,97
1378o.png,candidate,0.6138,161.4,174
1270o.png,candidate,0.6137,148.0,166
332o.png,candidate,0.6064,165.5,173
1383o.png,candidate,0.6052,117.3,131
1302o.png,candidate,0.5978,163.0,175
1253o.png,candidate,0.5944,175.3,187
58o.png,candidate,0.5933,183.3,193
1308o.png,candidate,0.5917,165.3,177
476o.png,candidate,0.5886,111.0,125
1192o.png,candidate,0.5782,163.8,174
479o.png,candidate,0.5752,167.0,176
3o.png,candidate,0.5739,127.7,139
388o.png,candidate,0.5701,85.9,98
1086o.png,candidate,0.5701,185.3,189
1062o.png,candidate,0.5662,178.4,183
1274o.png,candidate,0.5613,172.7,180
1233o.png,candidate,0.5576,109.3,120
1273o.png,candidate,0.5559,166.9,174
59o.png,candidate,0.5537,186.6,192
30o.png,candidate,0.5525,188.9,193
165o.png,candidate,0.5523,92.3,102
1195o.png,candidate,0.5514,186.7,192
1196o.png,candidate,0.5478,146.8,153
298o.png,candidate,0.5469,179.2,183
1305o.png,candidate,0.5454,166.4,173
570o.png,candidate,0.5454,153.7,160
1224o.png,candidate,0.5441,94.2,102
1369o.png,candidate,0.5434,163.8,169
1231o.png,candidate,0.5419,93.7,102
1213o.png,candidate,0.5416,96.9,105
475o.png,candidate,0.5308,102.5,107
844o.png,candidate,0.5271,183.0,186
842o.png,candidate,0.5211,195.7,197
61o.png,candidate,0.5169,195.8,197
1085o.png,candidate,0.5120,193.3,194
65o.png,candidate,0.5081,203.5,204
516o.png,candidate,0.5058,83.1,84
1o.png,candidate,0.5040,97.7,98
1386o.png,candidate,0.5015,158.9,159
641o.png,control,0.1552,229.3,186
713o.png,control,0.1549,225.1,179
1091o.png,control,0.1405,233.5,191
378o.png,control,0.1269,231.8,189
891o.png,control,0.0776,241.6,189
836o.png,control,0.1124,238.7,196
682o.png,control,0.1981,229.0,198
465o.png,control,0.1315,235.8,199
