cluster_id,n,unsigned,members,keep_if_same,drop_if_same,archief,fonds,signatuur,date,extra_info
m57,6,1,57o.png|58o.png|59o.png|60o.png|61o.png|62o.png,57o.png,58o.png|59o.png|60o.png|61o.png|62o.png,Rotterdam,,—,xxxx-xx-xx,Reinaert-fragmenten
m2,3,1,2o.png|3o.png|4o.png,2o.png,3o.png|4o.png,Algemeen Rijksarchief Den Haag,Grafelijkheid,—,1268-10-24,
m23,2,1,23o.png|24o.png,23o.png,24o.png,RA Gent,Sint-Baafs,—,126x-xx-xx,
m25,2,1,25o.png|26o.png,25o.png,26o.png,RA Gent,Sint-Michielskerk,—,126x-04-xx,
m33,2,0,33o.png|34o.png,33o.png,34o.png,RA Gent,fonds Gent,"6, 34 v° | 6, 34 r°",12xx-xx-xx,
m35,10,1,35o.png|36o.png|37o.png|38o.png|39o.png|40o.png|41o.png|42o.png|43o.png|44o.png,35o.png,36o.png|37o.png|38o.png|39o.png|40o.png|41o.png|42o.png|43o.png|44o.png,keure van Middelburg,,—,1254-xx-xx,
m45,4,1,45o.png|46o.png|47o.png|48o.png,45o.png,46o.png|47o.png|48o.png,Rijsel,B,—,1444-xx-xx,
m49,2,1,49o.png|50o.png,49o.png,50o.png,Karmelietenklooster Brugge,keure ambacht zwartledertouwers Brugge,—,13xx-xx-xx,
m51,6,0,51o.png|52o.png|53o.png|54o.png|55o.png|56o.png,51o.png,52o.png|53o.png|54o.png|55o.png|56o.png,oudste leenregister van Holland,,f° 34 v° | f° 34 r° | f° 17 v° | f° 54 v° | f° 1 r° | f° 46 r°,xxxx-xx-xx,handen B E F
m103,2,1,103o.png|104o.png,103o.png,104o.png,SA Gent,Groot Begijnhof,—,127x-xx-xx,
m134,2,1,134o.png|135o.png,134o.png,135o.png,COO Brussel,Sint-Janshospitaal,—,1277-06-11,
m153,2,1,153o.png|154o.png,153o.png,154o.png,RA Gent,Sint-Pietersabdij,—,1278-01-31,
m166,2,1,166o.png|167o.png,166o.png,167o.png,Algemeen Rijksarchief Den Haag,Zeeland,—,1278-08-15,
m179,2,1,179o.png|180o.png,179o.png,180o.png,Potterie Brugge,,—,1279-06-02,
m184,2,1,184o.png|185o.png,184o.png,185o.png,Spermalie Brugge,,—,1279-07-01,
m232,2,1,232o.png|233o.png,232o.png,233o.png,Spermalie Brugge,,—,1282-11-20,
m281,3,1,281o.png|282o.png|283o.png,281o.png,282o.png|283o.png,Sint-Janshospitaal Brugge,,—,1281-05-10,
m294,2,1,294o.png|295o.png,294o.png,295o.png,Bisdom Brugge,Urbanisten,—,1281-02-21,
m304,5,1,304o.png|305o.png|306o.png|307o.png|308o.png,304o.png,305o.png|306o.png|307o.png|308o.png,RA Gent,Rijke Gasthuis,—,1281-07-06,
