cluster_id,same,keep,drop,drop_map,members,archief,fonds,signatuur,date,extra_info,unsigned
m57,0,57o.png|58o.png|59o.png|60o.png|61o.png|62o.png,,,57o.png|58o.png|59o.png|60o.png|61o.png|62o.png,"Rotterdam","","—",xxxx-xx-xx,"Reinaert-fragmenten",1
m2,1,2o.png|3o.png,4o.png,4o.png=2o.png,2o.png|3o.png|4o.png,"Algemeen Rijksarchief Den Haag","Grafelijkheid","—",1268-10-24,"",1
m23,0,23o.png|24o.png,,,23o.png|24o.png,"RA Gent","Sint-Baafs","—",126x-xx-xx,"",1
m25,0,25o.png|26o.png,,,25o.png|26o.png,"RA Gent","Sint-Michielskerk","—",126x-04-xx,"",1
m33,1,34o.png,33o.png,33o.png=34o.png,33o.png|34o.png,"RA Gent","fonds Gent","6, 34 v° | 6, 34 r°",12xx-xx-xx,"",0
m35,1,35o.png,36o.png|37o.png|38o.png|39o.png|40o.png|41o.png|42o.png|43o.png|44o.png,36o.png=35o.png|37o.png=35o.png|38o.png=35o.png|39o.png=35o.png|40o.png=35o.png|41o.png=35o.png|42o.png=35o.png|43o.png=35o.png|44o.png=35o.png,35o.png|36o.png|37o.png|38o.png|39o.png|40o.png|41o.png|42o.png|43o.png|44o.png,"keure van Middelburg","","—",1254-xx-xx,"",1
m45,1,45o.png,46o.png|47o.png|48o.png,46o.png=45o.png|47o.png=45o.png|48o.png=45o.png,45o.png|46o.png|47o.png|48o.png,"Rijsel","B","—",1444-xx-xx,"",1
m49,1,50o.png,49o.png,49o.png=50o.png,49o.png|50o.png,"Karmelietenklooster Brugge","keure ambacht zwartledertouwers Brugge","—",13xx-xx-xx,"",1
m51,1,51o.png,52o.png|53o.png|54o.png|55o.png|56o.png,52o.png=51o.png|53o.png=51o.png|54o.png=51o.png|55o.png=51o.png|56o.png=51o.png,51o.png|52o.png|53o.png|54o.png|55o.png|56o.png,"oudste leenregister van Holland","","f° 34 v° | f° 34 r° | f° 17 v° | f° 54 v° | f° 1 r° | f° 46 r°",xxxx-xx-xx,"handen B E F",0
m103,0,103o.png|104o.png,,,103o.png|104o.png,"SA Gent","Groot Begijnhof","—",127x-xx-xx,"",1
m134,1,135o.png,134o.png,134o.png=135o.png,134o.png|135o.png,"COO Brussel","Sint-Janshospitaal","—",1277-06-11,"",1
m153,0,153o.png|154o.png,,,153o.png|154o.png,"RA Gent","Sint-Pietersabdij","—",1278-01-31,"",1
m166,1,166o.png,167o.png,167o.png=166o.png,166o.png|167o.png,"Algemeen Rijksarchief Den Haag","Zeeland","—",1278-08-15,"",1
m179,0,179o.png|180o.png,,,179o.png|180o.png,"Potterie Brugge","","—",1279-06-02,"",1
m184,0,184o.png|185o.png,,,184o.png|185o.png,"Spermalie Brugge","","—",1279-07-01,"",1
m232,0,232o.png|233o.png,,,232o.png|233o.png,"Spermalie Brugge","","—",1282-11-20,"",1
m281,0,281o.png|282o.png|283o.png,,,281o.png|282o.png|283o.png,"Sint-Janshospitaal Brugge","","—",1281-05-10,"",1
m294,0,294o.png|295o.png,,,294o.png|295o.png,"Bisdom Brugge","Urbanisten","—",1281-02-21,"",1
m304,0,304o.png|305o.png|306o.png|307o.png|308o.png,,,304o.png|305o.png|306o.png|307o.png|308o.png,"RA Gent","Rijke Gasthuis","—",1281-07-06,"",1
m336,1,336o.png,337o.png,337o.png=336o.png,336o.png|337o.png,"SA Gent","Stadscharters","—",128x-xx-xx,"",1
m350,1,350o.png,351o.png|352o.png|353o.png|354o.png,351o.png=350o.png|352o.png=350o.png|353o.png=350o.png|354o.png=350o.png,350o.png|351o.png|352o.png|353o.png|354o.png,"Algemeen Rijksarchief Den Haag","Grafelijkheid","—",1285-10-27,"",1
m360,0,360o.png|361o.png,,,360o.png|361o.png,"Sint-Janshospitaal Brugge","","—",1285-11-24,"",1
m390,0,390o.png|391o.png|392o.png|393o.png|394o.png,,,390o.png|391o.png|392o.png|393o.png|394o.png,"Schoonhoven","","—",1284-07-25,"",1
m416,1,416o.png,417o.png,417o.png=416o.png,416o.png|417o.png,"C.O.O. Brugge","Magdalenahospitaal","—",1284-12-09,"",1
m433,0,433o.png|434o.png,,,433o.png|434o.png,"Groot Seminarie Brugge","Ter Duinen","—",1284-05-06,"",1
m475,0,475o.png|476o.png,,,475o.png|476o.png,"Algemeen Rijksarchief Den Haag","Zeeland","—",1286-04-07,"",1
m525,0,525o.png|526o.png,,,525o.png|526o.png,"Sint-Janshospitaal Brugge","","—",1288-02-20,"",1
m545,1,545o.png,546o.png,546o.png=545o.png,545o.png|546o.png,"ARA Brussel","rolrekening","1999 | 1998",12xx-xx-xx,"",0
m563,1,563o.png,564o.png,564o.png=563o.png,563o.png|564o.png,"Algemeen Rijksarchief Den Haag","Henegouwen","37 | —",1288-03-21,"",0
m573,1,573o.png,574o.png|575o.png|576o.png|577o.png|578o.png|579o.png|580o.png,574o.png=573o.png|575o.png=573o.png|576o.png=573o.png|577o.png=573o.png|578o.png=573o.png|579o.png=573o.png|580o.png=573o.png,573o.png|574o.png|575o.png|576o.png|577o.png|578o.png|579o.png|580o.png,"Groot Seminarie Brugge","Ter Duinen","—",1288-05-07,"",1
m626,0,626o.png|627o.png,,,626o.png|627o.png,"Gemeentearchief Utrecht","","n° 276 | n° 64",1289-12-12,"",0
m632,0,632o.png|633o.png,,,632o.png|633o.png,"Groot Seminarie Brugge","Ter Duinen","—",1298-01-15,"",1
m638,0,638o.png|639o.png,,,638o.png|639o.png,"Groot Seminarie Brugge","Ter Duinen","—",1299-05-02,"",1
m717,0,717o.png|718o.png,,,717o.png|718o.png,"RA Antwerpen","Pitsenburg","—",1297-03-28,"",1
m735,0,735o.png|736o.png|737o.png,,,735o.png|736o.png|737o.png,"Sint-Janshospitaal Brugge","","—",1294-11-06,"",1
m783,0,783o.png|784o.png,,,783o.png|784o.png,"Sint-Janshospitaal Brugge","","—",1298-05-08,"",1
m788,0,788o.png|789o.png,,,788o.png|789o.png,"Sint-Janshospitaal Brugge","","—",1297-03-01,"",1
m799,0,799o.png|800o.png,,,799o.png|800o.png,"Sint-Janshospitaal Brugge","","—",1296-08-05,"",1
m810,0,810o.png|811o.png|812o.png,,,810o.png|811o.png|812o.png,"Sint-Janshospitaal Brugge","","—",1295-12-17,"",1
m866,0,866o.png|867o.png,,,866o.png|867o.png,"SA Brugge","","1306/177 | 1306/176",1300-06-24,"",0
m890,0,890o.png|891o.png,,,890o.png|891o.png,"AB Mechelen","Beggaarden","—",1291-05-16,"",1
