volgnummer,recto,decision,reason,series_first,archief,fonds,signatuur,jaar,maand,dag,extra_info
1,1o.png,keep,,,Algemeen Rijksarchief Den Haag,Grafelijkheid,,1269,11,02,kopie eind 13de eeuw
2,2o.png,keep,,,Algemeen Rijksarchief Den Haag,Grafelijkheid,,1268,10,24,
3,3o.png,keep,,,Algemeen Rijksarchief Den Haag,Grafelijkheid,,1268,10,24,
4,4o.png,keep,,,Algemeen Rijksarchief Den Haag,Grafelijkheid,,1268,10,24,
5,5o.png,keep,,,Groot Seminarie Brugge,Ter Duinen,,1269,01,12,
6,6o.png,keep,,,Groot Seminarie Brugge,Eekhout,,1269,04,26,
7,7o.png,keep,,,Groot Seminarie Brugge,Ter Duinen,,1269,07,09,
8,8o.png,keep,,,RA Brugge,Vrije,33,1269,07,13,
9,9o.png,keep,,,C.O.O. Brugge,Magdalenahospitaal,,1269,11,01,
10,10o.png,keep,,,Groot Seminarie Brugge,Ter Duinen,,1267,07,16,
11,11o.png,keep,,,C.O.O. Brugge,Magdalenahospitaal,,1267,10,08,
12,12o.png,keep,,,RA Gent,Sint-Elizabeth,,1267,05,xx,
13,13o.png,keep,,,Groot Seminarie Brugge,Eekhout,,1267,02,05,
14,14o.png,keep,,,C.O.O. Brugge,Magdalenahospitaal,,1267,02,18,
15,15o.png,keep,,,RA Gent,Sint-Pietersabdij,,1267,07,12,
16,16o.png,keep,,,Groot Seminarie Brugge,Ter Duinen,,1267,04,30,
17,17o.png,keep,,,SA Gent,Sint-Jans-ten-Dullen,,1260,12,25,
18,18o.png,keep,,,SA Gent,Stadscharters,,126x,04,xx,
19,19o.png,keep,,,Groot Seminarie Brugge,Ter Duinen,944,1263,05,xx,vertaling midden 14e
20,20o.png,keep,,,RA Brugge,blauw,3168,1264,07,30,
21,21o.png,keep,,,Klein Begijnhof,Gent,,1266,06,19,
22,22o.png,keep,,,C.O.O. Brugge,Magdalenahospitaal,,1266,11,06,
23,23o.png,keep,,,RA Gent,Sint-Baafs,,126x,xx,xx,
24,24o.png,keep,,,RA Gent,Sint-Baafs,,126x,xx,xx,
25,25o.png,keep,,,RA Gent,Sint-Michielskerk,,126x,04,xx,
26,26o.png,keep,,,RA Gent,Sint-Michielskerk,,126x,04,xx,
27,27o.png,keep,,,RA Gent,Onze-Lieve-Vrouwkerk Gent,,126x,04,xx,
28,28o.png,keep,,,ARA Brussel,Kerkelijk fonds,5885,126x,03,xx,
29,29o.png,keep,,,RA Gent,Sint-Baafs,,12xx,xx,xx,
30,30o.png,keep,,,Stadsarchief Mechelen,statuten broederschap Sint Elooi,,12xx,xx,xx,kopie begin 14e
31,31o.png,keep,,,RA Mons,cart.,"29, 46 r°",1254,3,01,kopie ± 1280
32,32o.png,keep,,,SA Mechelen,,,1254,12,21,vertaling 1e kwart 14e
33,33o.png,keep,,,RA Gent,fonds Gent,"6, 34 v°",12xx,xx,xx,
34,34o.png,keep,,,RA Gent,fonds Gent,"6, 34 r°",12xx,xx,xx,
