filename,main_document,fell_back,n_regions,x0,y0,x1,y1,width,height,ox0,oy0,ox1,oy1,original_path
1o.png,1,0,1,283,125,2077,1449,2339,1656,283,125,2077,1449,images/archive-original/1260-1269/1o.jpg
2o.png,1,0,5,154,143,2291,1327,2339,1656,154,143,2291,1327,images/archive-original/1260-1269/2o.jpg
3o.png,1,0,37,420,208,1971,1371,2339,1656,420,208,1971,1371,images/archive-original/1260-1269/3o.jpg
4o.png,1,0,4,165,132,2283,1136,2339,1656,165,132,2283,1136,images/archive-original/1260-1269/4o.jpg
5o.png,1,0,6,207,296,1893,1329,2024,1436,296,130,1329,1816,images/archive-original/1260-1269/5o.jpg
6o.png,1,0,9,169,341,2001,1297,2024,1436,341,22,1297,1854,images/archive-original/1260-1269/6o.jpg
7o.png,1,0,2,149,609,1921,1291,2024,1436,609,102,1291,1874,images/archive-original/1260-1269/7o.jpg
8o.png,1,0,6,216,137,2014,1232,2024,1436,137,9,1232,1807,images/archive-original/1260-1269/8o.jpg
9o.png,1,0,4,412,638,1765,1253,2024,1436,638,258,1253,1611,images/archive-original/1260-1269/9o.jpg
10o.png,1,0,1,461,178,1834,1345,2024,1436,178,189,1345,1562,images/archive-original/1260-1269/10o.jpg
11o.png,1,0,5,182,871,2011,1386,2024,1436,871,12,1386,1841,images/archive-original/1260-1269/11o.jpg
12o.png,1,0,1,38,20,1627,1151,1654,1168,20,26,1151,1615,images/archive-original/1260-1269/12o.jpg
13o.png,1,0,1,201,351,2008,1400,2024,1436,351,15,1400,1822,images/archive-original/1260-1269/13o.jpg
14o.png,1,0,4,331,127,1931,1326,2024,1436,127,92,1326,1692,images/archive-original/1260-1269/14o.jpg
15o.png,1,0,6,220,216,1456,901,1654,1168,216,197,901,1433,images/archive-original/1260-1269/15o.jpg
16o.png,1,0,7,545,112,1713,1412,2024,1436,112,310,1412,1478,images/archive-original/1260-1269/16o.jpg
17o.png,1,0,1,135,192,1553,2052,1654,2340,192,100,2052,1518,images/archive-original/1260-1269/17o.jpg
18o.png,1,0,10,559,118,1829,1264,2024,1436,118,194,1264,1464,images/archive-original/1260-1269/18o.jpg
