gysseling_nr,kind,same_hand_as,statushand,leroy_groep,note,file
92,unclassified,,an,,[[hand] [A:],0092.fromdb
93,unclassified,,ad,,[?] [[hand] [Ab],0093.fromdb
93,unclassified,,ad,,[?] [[hand] [H],0093.fromdb
289,same_hand,227,md,90,cleerghelt besit lisen. Geschreven door dezelfde hand als nr. 227. Dit is een Gentse stadsklerk.,0289.fromdb
459,recto_dorse,,md,52,door de hand van de voorzij;,0459.fromdb
476,recto_dorse,,md,52,door de hand van de voorzij:,0476.fromdb
530,unclassified,,md,31,"eronder, zelfde hand: .f.",0530.fromdb
637,same_hand,343,mn,58,f f e door uitslijting onzeker f Geschreven door de hand van nr. 343. f f f f f f f f f f f anno domini .m'ho.cc'ho.lxxx'ho. quinto.,0637.fromdb
720,intra_document,,md,78,f dit alles uitgekrabd en door dezelfde hand vervangen door: f f ad Releuium,0720.fromdb
776,unclassified,,md,,Orscamp door latere 14'he-eeuwse hand toegevoegd: v,0776.fromdb
891,unclassified,,md,100,tsaerter daen+of ghelt lammijn f f door deze hand later toegevoegd: tsaertere spanne.-,0891.fromdb
1010,same_hand,128,ad,42,wendunen xij ij ix Actum m'ho ij'hc xc'ho. Geschreven door de hand van nr. 128.,1010.fromdb
1074,other_hand_addition,,ad,,de .ij. linis lvj virgis margarete filie bijgevoegd gelijktijdige hand: lisseweghe juxta atrium ecclesie.-,1074.fromdb
1236,intra_document,,md,,Scabini door dezelfde hand bovengeschreven: domini de .a. de Grimbergis de xl 't3s super .ii. bonaria apud,1236.fromdb
1670,same_hand,392,ad,70,".v. f. CC'ho xxiiij'ho. Deze oorkonde is van dezelfde hand als nr. 392, die ook blijkens deze rugnota een monnik is van Sint-Andries. Uit deze rugnota blijkt bovendien dat Willem Doern een tussenpersoon moet geweest zijn tussen de verkoper en de abdi…",1670.fromdb
1671,same_hand,1745,ad,,mechelen sijse renten xxj deylene vele etc strijde Dezelfde hand schreef nr. 1745.,1671.fromdb
1745,same_hand,1671,md,,xxx ii Geschreven door dezelfde hand als nr. 1671.,1745.fromdb
1779,other_hand_addition,,md,,"ad missam missam is uit een ander woord gewijzigd door een andere hand 1'he helft 14'he, e. die eraan toevoegde: sancte marie ex parte domine de condam abbatisse.- xx de erpse",1779.fromdb
1815,other_hand_addition,,md,,lettre de chiaus de midelbourc quil reconnoissent que me sires toegevoegd door gelijktijdige hand: est lor sires & quil lont rechiut a signeur.,1815.fromdb
1882,other_hand_addition,,md,28,anno xcvi'ho. xcvij'ho. xcviij'ho. xcix'ho. De rekening over 1300 loopt van juni 1300 tot juni 1301 ze werd nagezien op 16 dec. 1302 blijkens een aantekening van een andere hand:,1882.fromdb
