id,mode,corpus,note
789o,photo,1579.txt,neighbour
788o,photo,1580.txt,neighbour
399o,photo,0514.txt,neighbour
285o,photo,0333.txt,neighbour
596o,photo,0879.txt,neighbour
731o,photo,1413.txt,neighbour
303o,photo,0336.txt,neighbour
180o,photo,0253.txt,neighbour
178o,photo,0248.txt,neighbour
1083o,photo,1429.txt,neighbour
109o,photo,0152.txt,neighbour
254o,photo,0427.txt,neighbour
80o,photo,0109.txt,neighbour
270o,photo,0426.txt,neighbour
703o,photo,1268.txt,neighbour
219o,photo,0460.txt,neighbour
1007o,photo,1146.txt,neighbour
427o,photo,0518.txt,neighbour
767o,photo,1752.txt,neighbour
236o,photo,0404.txt,neighbour
803o,photo,1514.txt,neighbour
932o,photo,1731.txt,neighbour
408o,photo,0528.txt,neighbour
283o,photo,0344.txt,neighbour
540o,photo,0796.txt,neighbour
424o,photo,0524.txt,neighbour
774o,photo,1893.txt,neighbour
1078o,photo,1598.txt,neighbour
307o,photo,0356.txt,neighbour
1273o,photo,1790a.txt,neighbour
430o,photo,0563.txt,neighbour
68o,photo,0090.txt,neighbour
411o,photo,0569.txt,neighbour
67o,photo,0088.txt,neighbour
335o,photo,0289.txt,neighbour
1013o,photo,1251.txt,neighbour
838o,photo,1772.txt,neighbour
497o,photo,0742.txt,neighbour
217o,photo,0481.txt,neighbour
175o,photo,0245.txt,neighbour
202o,photo,0277.txt,neighbour
591o,photo,0876.txt,neighbour
378o,photo,0589.txt,neighbour
457o,photo,0668.txt,neighbour
313o,photo,0301.txt,neighbour
657o,photo,1652.txt,neighbour
1320o,photo,1480.txt,neighbour
425o,photo,0522.txt,neighbour
1040o,photo,1238.txt,neighbour
456o,photo,0643.txt,neighbour
699o,photo,1193.txt,neighbour
587o,photo,0851.txt,neighbour
141o,photo,0199.txt,neighbour
145o,photo,0206.txt,neighbour
322o,photo,0302.txt,neighbour
288o,photo,0384.txt,neighbour
956o,photo,1145.txt,neighbour
417o,photo,0572.txt,neighbour
926o,photo,1596.txt,neighbour
428o,photo,0511.txt,neighbour
616o,photo,0830.txt,neighbour
164o,photo,0231.txt,neighbour
289o,photo,0379.txt,neighbour
614o,photo,0836.txt,neighbour
179o,photo,0252.txt,neighbour
308o,photo,0355.txt,neighbour
660o,photo,1886.txt,neighbour
746o,photo,1331.txt,neighbour
317o,photo,0285.txt,neighbour
248o,photo,0484.txt,neighbour
369o,photo,0610.txt,neighbour
91o,photo,0129.txt,neighbour
127o,photo,0183.txt,neighbour
908o,photo,1148.txt,neighbour
697o,photo,1155.txt,neighbour
