id,status,region,archief,fonds,signatuur,year,month,day,extra_datum,extra_info,noncharter_flag,in_gysseling_century,reviewed_gys,review_note,auto_gys,auto_score,auto_margin,auto_hand_group
87o,unmatched,flanders,Bisdom Brugge,Urbanisten,,1272,5,,,,False,True,,,,0.3102,0.0121,
11o,unmatched,flanders,C.O.O. Brugge,Magdalenahospitaal,,1267,10,8,,,False,True,,,,0.3213,0.0066,
92o,unmatched,flanders,C.O.O. Brugge,Begijnhof,,1273,2,23,,,False,True,,,,0.3418,0.0043,
107o,unmatched,flanders,C.O.O. Brugge,Magdalenahospitaal,,1274,4,12,,,False,True,,,,0.3632,0.0018,
130o,unmatched,flanders,C.O.O. Brugge,Begijnhof,,1277,2,20,,,False,True,,,,0.3742,0.0015,
418o,unmatched,flanders,C.O.O. Brugge,Magdalenahospitaal,,1284,10,12,,,False,True,,,,0.366,0.0113,
464o,unmatched,flanders,C.O.O. Brugge,rekening Watering van Blankenberge,,1286,4,17,,,False,True,,,,0.2905,0.0014,
542o,unmatched,flanders,C.O.O. Brugge,Magdalenahospitaal,,1288,2,13,,,False,True,,,,0.3791,0.014,
995o,unmatched,flanders,C.O.O. Brugge,Magdalenahospitaal,,1291,1,15,,,False,True,,,,0.3464,0.0052,
828o,unmatched,flanders,C.O.O. Brugge,Magdalenahospitaal,,1292,3,1,,,False,True,,,,0.3855,0.0071,
825o,unmatched,flanders,C.O.O. Brugge,rekening Watering van Blankenberge,,1293,4,1,,,False,True,,,,0.2934,0.0085,
821o,unmatched,flanders,C.O.O. Brugge,rekening Watering van Blankenberge,,1294,4,21,,,False,True,,,,0.2977,0.0001,
823o,unmatched,flanders,C.O.O. Brugge,Begijnhof,,1294,1,16,,,False,True,,,,0.398,0.0074,
727o,unmatched,flanders,C.O.O. Brugge,rekening Watering van Blankenberge,,1297,4,17,,,False,True,,,,0.2774,0.0026,
725o,unmatched,flanders,C.O.O. Brugge,rekening Watering van Blankenberge,,1298,4,9,,,False,True,,,,0.3117,0.0018,
760o,unmatched,flanders,C.O.O. Brugge,Begijnhof,,1299,12,31,,,False,True,,,,0.3894,0.0154,
1380o,unmatched,flanders,COO Kortrijk,,,1294,10,12,,,False,True,,,,0.3601,0.0009,
16o,unmatched,flanders,Groot Seminarie Brugge,Ter Duinen,,1267,4,30,,,False,True,,,,0.3358,0.0031,
5o,unmatched,flanders,Groot Seminarie Brugge,Ter Duinen,,1269,1,12,,,False,True,,,,0.3576,0.0063,
71o,unmatched,flanders,Groot Seminarie Brugge,Ter Duinen,,1270,8,,eind augustus,,False,True,,,,0.3385,0.0209,
163o,unmatched,flanders,Groot Seminarie Brugge,Ter Duinen,,1278,6,22,,,False,True,,,,0.3311,0.0002,
203o,unmatched,flanders,Groot Seminarie Brugge,Ter Duinen,,1279,12,15,,,False,True,,,,0.3473,0.0008,
235o,unmatched,flanders,Groot Seminarie Brugge,Ter Duinen,,1282,5,2,,,False,True,,,,0.3293,0.0557,
255o,unmatched,flanders,Groot Seminarie Brugge,Ter Duinen,,1282,3,14,,,False,True,,,,0.3952,0.0048,
397o,unmatched,flanders,Groot Seminarie Brugge,Ter Duinen,,1284,3,4,,,False,True,,,,0.3802,0.0018,
431o,unmatched,flanders,Groot Seminarie Brugge,Ter Duinen,,1284,7,22,,,False,True,,,,0.3535,0.0019,
356o,unmatched,flanders,Groot Seminarie Brugge,Ter Duinen,,1285,10,13,,,False,True,,,,0.363,0.0172,
439o,unmatched,flanders,Groot Seminarie Brugge,Ter Duinen,,1286,9,27,,,False,True,,,,0.3484,0.0005,
441o,unmatched,flanders,Groot Seminarie Brugge,Ter Duinen,,1286,7,18,,,False,True,,,,0.3782,0.0279,
446o,unmatched,flanders,Groot Seminarie Brugge,Ter Duinen,,1286,1,24,,,False,True,,,,0.385,0.0069,
484o,unmatched,flanders,Groot Seminarie Brugge,Ter Duinen,,1287,3,8,,,False,True,,,,0.349,0.0234,
521o,unmatched,flanders,Groot Seminarie Brugge,Ter Duinen,,1288,4,3,,,False,True,,,,0.3539,0.0069,
573o,unmatched,flanders,Groot Seminarie Brugge,Ter Duinen,,1288,5,7,,,False,True,,,,0.3487,0.0002,
574o,unmatched,flanders,Groot Seminarie Brugge,Ter Duinen,,1288,5,7,,,False,True,,,,0.3472,0.0504,
